Cluster_number,Ticker,Nearest_Neighbor
1,PAGEIND,TATAELXSI
2,GLENMARK,MANAPPURAM
2,MANAPPURAM,GLENMARK
2,MINDTREE,HEXAWARE
12,ADANIENT,SREINFRA
12,EXIDEIND,NHPC
13,JISLJALEQS,BEML
13,PTC,JISLJALEQS
13,SUZLON,JISLJALEQS
14,GODREJIND,UBL
14,HAVELLS,UBL
14,IGL,TVSMOTOR
14,UBL,GODREJIND
15,ASHOKLEY,MOTHERSUMI
15,ASIANPAINT,NESTLEIND
15,AUROPHARMA,CADILAHC
15,BAJAJ-AUTO,GODREJCP
15,BOSCHLTD,ZEEL
15,BRITANNIA,MARICO
15,CADILAHC,MUTHOOTFIN
15,DABUR,TITAN
15,EICHERMOT,HEROMOTOCO
15,GODREJCP,NESTLEIND
15,HCLTECH,TECHM
15,HEROMOTOCO,EICHERMOT
15,INDIGO,PETRONET
15,INFRATEL,NMDC
15,MOTHERSUMI,ASHOKLEY
15,MUTHOOTFIN,CADILAHC
15,NESTLEIND,GODREJCP
15,NMDC,INFRATEL
15,PETRONET,UPL
15,PIDILITIND,TITAN
15,SHREECEM,MUTHOOTFIN
15,SUNTV,PIDILITIND
15,TECHM,HCLTECH
15,TITAN,DABUR
15,ZEEL,BOSCHLTD
16,ADANIPORTS,GAIL
16,ADANIPOWER,JINDALSTEL
16,DHFL,LICHSGFIN
16,DLF,ADANIPORTS
16,GAIL,ADANIPORTS
16,HINDPETRO,SUNPHARMA
16,IDEA,DHFL
16,JINDALSTEL,RPOWER
16,PEL,ADANIPORTS
16,RELINFRA,ADANIENT
16,SAIL,JINDALSTEL
16,SRTRANSFIN,IDFCBANK
16,SUNPHARMA,ULTRACEMCO
16,TATAPOWER,GAIL
16,ULTRACEMCO,SUNPHARMA
17,BHEL,SREINFRA
17,MRF,CONCOR
17,NHPC,EXIDEIND
17,SREINFRA,ADANIENT
18,ACC,TORNTPHARM
18,AMBUJACEM,CIPLA
18,CESC,IRB
18,CIPLA,AMBUJACEM
18,DALMIABHA,DRREDDY
18,IDFCBANK,M&MFIN
18,INDIANB,M&MFIN
18,M&MFIN,CHOLAFIN
18,MFSL,RCOM
18,MRPL,OIL
18,OIL,CIPLA
18,RCOM,MFSL
18,RPOWER,M&MFIN
18,TORNTPHARM,ACC
18,TORNTPOWER,CESC
20,ALBK,ANDHRABANK
25,DCBBANK,KTKBANK
25,KTKBANK,SOUTHBANK
25,SOUTHBANK,KTKBANK
29,BANKBARODA,IDFC
29,CANBK,UNIONBANK
29,PNB,BANKINDIA
29,UNIONBANK,CANBK
30,AXISBANK,BANKBARODA
30,BHARTIARTL,POWERGRID
30,HINDUNILVR,INFY
30,ICICIBANK,TATAMOTORS
30,INFY,ITC
30,IOC,TATAMTRDVR
30,ITC,INFY
30,LT,NTPC
30,NTPC,POWERGRID
30,PFC,RECLTD
30,POWERGRID,TATASTEEL
30,TATAMOTORS,TATAMTRDVR
30,TATAMTRDVR,TATAMOTORS
30,TATASTEEL,POWERGRID
30,VEDL,TATASTEEL
32,BAJAJFINSV,GRASIM
32,BAJFINANCE,INDUSINDBK
32,BPCL,M&M
32,COALINDIA,BPCL
32,GRASIM,BAJAJFINSV
32,HINDALCO,GRASIM
32,HINDZINC,MARUTI
32,IBULHSGFIN,LICHSGFIN
32,IDFC,YESBANK
32,INDUSINDBK,BAJFINANCE
32,JSWSTEEL,HINDALCO
32,KOTAKBANK,M&M
32,LICHSGFIN,IBULHSGFIN
32,M&M,BPCL
32,MARUTI,M&M
32,RECLTD,HINDALCO
32,WIPRO,COALINDIA
32,YESBANK,COALINDIA
35,SBIN,HDFCBANK
35,SYNDIBANK,BANKBARODA
37,AMARAJABAT,VOLTAS
37,BALKRISIND,DIVISLAB
37,BEL,UPL
37,CONCOR,MRF
37,CUMMINSIND,VOLTAS
37,DIVISLAB,BALKRISIND
37,UPL,BEL
37,VOLTAS,AMARAJABAT
39,HDFC,ICICIBANK
39,HDFCBANK,HDFC
39,ONGC,TCS
39,RELIANCE,HDFCBANK
39,TCS,ONGC
